,Mobile_Brand,Rating,RAM,ROM,Orignal_price,Discount,Price
0,OPPO Reno10 5G ,"12,825 ",8 GB, 256 GB ,"38,999",15%,"32,999"
1,OPPO Find N2 Flip ,269 ,8 GB, 256 GB ,"99,999",10%,"89,999"
2,POCO C51 ,"56,272 ",4 GB, 64 GB ,"9,999",35%,"6,499"
3,POCO C51 ,"56,272 ",4 GB, 64 GB ,"9,999",35%,"6,499"
4,POCO C50 ,"53,052 ",2 GB, 32 GB ,"8,999",38%,"5,499"
5,POCO C55 ,"38,366 ",6 GB, 128 GB ,"13,999",39%,"8,499"
6,REDMI 12 ,"2,665 ",6 GB, 128 GB ,"15,999",28%,"11,499"
7,REDMI 12 ,"2,665 ",6 GB, 128 GB ,"15,999",28%,"11,499"
8,POCO C55 ,"38,366 ",6 GB, 128 GB ,"13,999",39%,"8,499"
9,Infinix SMART 7 ,"63,638 ",4 GB, 64 GB ,"9,999",30%,"6,999"
10,Infinix SMART 7 ,"63,638 ",4 GB, 64 GB ,"9,999",30%,"6,999"
11,Infinix SMART 7 ,"63,638 ",4 GB, 128 GB ,"10,999",30%,"7,599"
12,Infinix SMART 7 ,"63,638 ",4 GB, 128 GB ,"10,999",30%,"7,599"
13,Infinix SMART 7 ,"63,638 ",4 GB, 128 GB ,"10,999",30%,"7,599"
14,realme C53 ,"17,973 ",6 GB, 64 GB ,"12,999",15%,"10,999"
15,realme C53 ,"17,973 ",6 GB, 64 GB ,"12,999",15%,"10,999"
16,Infinix SMART 7 ,"63,638 ",4 GB, 64 GB ,"9,999",30%,"6,999"
17,REDMI 12 ,"8,985 ",4 GB, 128 GB ,"14,999",33%,"9,999"
18,MOTOROLA e13 ,"45,314 ",4 GB, 64 GB ,"10,999",33%,"7,299"
19,POCO C55 ,"38,366 ",6 GB, 128 GB ,"13,999",39%,"8,499"
20,SAMSUNG Galaxy F13 ,"1,67,538 ",4 GB, 64 GB ,"14,999",26%,"10,999"
21,realme C53 ,"4,537 ",4 GB, 128 GB ,"11,999",16%,"9,999"
22,vivo T2x 5G ,"1,12,057 ",6 GB, 128 GB ,"18,999",26%,"13,999"
23,vivo T2x 5G ,"1,12,057 ",6 GB, 128 GB ,"18,999",26%,"13,999"
